* min_df= 2 , max_df= 0.45, alpha= 0.04, accuracy_train=0.9427942794279428, accuracy_val=0.9014084507042254 
* min_df= 2 , max_df= 0.45, alpha= 0.05, accuracy_train=0.9406786832529407, accuracy_val=0.9014084507042254 
* min_df= 2 , max_df= 0.45, alpha= 0.06, accuracy_train=0.9392400778539393, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.45, alpha= 0.07, accuracy_train=0.9378860963019379, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.45, alpha= 0.08, accuracy_train=0.9368706101379368, accuracy_val=0.8991244765892653 
* min_df= 2 , max_df= 0.45, alpha= 0.09, accuracy_train=0.9360243716679361, accuracy_val=0.8983631518842786 
* min_df= 3 , max_df= 0.05, alpha= 0.01, accuracy_train=0.9535415079969536, accuracy_val=0.899885801294252 
* min_df= 3 , max_df= 0.05, alpha= 0.02, accuracy_train=0.9496488110349497, accuracy_val=0.9002664636467453 
* min_df= 3 , max_df= 0.05, alpha= 0.03, accuracy_train=0.9471524075484472, accuracy_val=0.901027788351732 
* min_df= 3 , max_df= 0.05, alpha= 0.04, accuracy_train=0.9456291783024456, accuracy_val=0.9006471259992387 
* min_df= 3 , max_df= 0.05, alpha= 0.05, accuracy_train=0.9437674536684437, accuracy_val=0.9002664636467453 
* min_df= 3 , max_df= 0.05, alpha= 0.06, accuracy_train=0.9422442244224423, accuracy_val=0.9002664636467453 
* min_df= 3 , max_df= 0.05, alpha= 0.07, accuracy_train=0.9414826097994414, accuracy_val=0.9002664636467453 
* min_df= 3 , max_df= 0.05, alpha= 0.08, accuracy_train=0.9404248117119405, accuracy_val=0.899885801294252 
* min_df= 3 , max_df= 0.05, alpha= 0.09, accuracy_train=0.9397901328594398, accuracy_val=0.899885801294252 
* min_df= 3 , max_df= 0.1, alpha= 0.01, accuracy_train=0.9496488110349497, accuracy_val=0.901027788351732 
* min_df= 3 , max_df= 0.1, alpha= 0.02, accuracy_train=0.9462215452314462, accuracy_val=0.8995051389417587 
* min_df= 3 , max_df= 0.1, alpha= 0.03, accuracy_train=0.9438097655919439, accuracy_val=0.8991244765892653 
* min_df= 3 , max_df= 0.1, alpha= 0.04, accuracy_train=0.9415672336464416, accuracy_val=0.8983631518842786 
* min_df= 3 , max_df= 0.1, alpha= 0.05, accuracy_train=0.9406363713294407, accuracy_val=0.8991244765892653 
* min_df= 3 , max_df= 0.1, alpha= 0.06, accuracy_train=0.9391554540069391, accuracy_val=0.899885801294252 
* min_df= 3 , max_df= 0.1, alpha= 0.07, accuracy_train=0.9384784632309385, accuracy_val=0.901027788351732 
* min_df= 3 , max_df= 0.1, alpha= 0.08, accuracy_train=0.9374206651434375, accuracy_val=0.9017891130567187 
