* min_df= 3 , max_df= 0.25, alpha= 0.09, accuracy_train=0.9314123720064315, accuracy_val=0.9002664636467453 
* min_df= 3 , max_df= 0.30000000000000004, alpha= 0.01, accuracy_train=0.9467292883134467, accuracy_val=0.9006471259992387 
* min_df= 3 , max_df= 0.30000000000000004, alpha= 0.02, accuracy_train=0.9430904628924431, accuracy_val=0.9017891130567187 
* min_df= 3 , max_df= 0.30000000000000004, alpha= 0.03, accuracy_train=0.9401709401709402, accuracy_val=0.9025504377617054 
* min_df= 3 , max_df= 0.30000000000000004, alpha= 0.04, accuracy_train=0.9378437843784379, accuracy_val=0.9021697754092121 
* min_df= 3 , max_df= 0.30000000000000004, alpha= 0.05, accuracy_train=0.9359820597444359, accuracy_val=0.9014084507042254 
* min_df= 3 , max_df= 0.30000000000000004, alpha= 0.06, accuracy_train=0.9347973258864348, accuracy_val=0.9002664636467453 
* min_df= 3 , max_df= 0.30000000000000004, alpha= 0.07, accuracy_train=0.9333587204874334, accuracy_val=0.899885801294252 
* min_df= 3 , max_df= 0.30000000000000004, alpha= 0.08, accuracy_train=0.931962427011932, accuracy_val=0.8995051389417587 
* min_df= 3 , max_df= 0.30000000000000004, alpha= 0.09, accuracy_train=0.930946940847931, accuracy_val=0.899885801294252 
* min_df= 3 , max_df= 0.35000000000000003, alpha= 0.01, accuracy_train=0.9465600406194465, accuracy_val=0.9002664636467453 
* min_df= 3 , max_df= 0.35000000000000003, alpha= 0.02, accuracy_train=0.9428365913514428, accuracy_val=0.9017891130567187 
* min_df= 3 , max_df= 0.35000000000000003, alpha= 0.03, accuracy_train=0.9398324447829398, accuracy_val=0.9033117624666921 
* min_df= 3 , max_df= 0.35000000000000003, alpha= 0.04, accuracy_train=0.9377591605314377, accuracy_val=0.9025504377617054 
* min_df= 3 , max_df= 0.35000000000000003, alpha= 0.05, accuracy_train=0.9359820597444359, accuracy_val=0.9014084507042254 
* min_df= 3 , max_df= 0.35000000000000003, alpha= 0.06, accuracy_train=0.9344588304984345, accuracy_val=0.901027788351732 
* min_df= 3 , max_df= 0.35000000000000003, alpha= 0.07, accuracy_train=0.9332740966404333, accuracy_val=0.9002664636467453 
* min_df= 3 , max_df= 0.35000000000000003, alpha= 0.08, accuracy_train=0.931962427011932, accuracy_val=0.8995051389417587 
